subject,task,frame_idx,haar_w,haar_h,haar_cx,haar_cy,haar_side_1.3x,mp_w,mp_h,mp_cx,mp_cy,mp_score,cy_delta_px,cy_offset_frac,implied_margin_to_match_haar
s1,T1,1739,504,504,546.0,589.0,655.2,476,476,513.0,618.0,0.926,29.0,0.0609,1.3765
s1,T1,3162,509,509,563.5,515.5,661.7,481,481,529.5,545.5,0.937,30.0,0.0624,1.3757
s1,T1,4585,518,518,549.0,507.0,673.4,486,486,516.0,536.0,0.924,29.0,0.0597,1.3856
s1,T2,1739,537,537,682.5,486.5,698.1,475,475,608.5,548.5,0.935,62.0,0.1305,1.4697
s1,T2,3162,522,522,610.0,479.0,678.6,469,469,565.5,530.5,0.937,51.5,0.1098,1.4469
s1,T2,4585,527,527,634.5,444.5,685.1,438,438,586.0,521.0,0.926,76.5,0.1747,1.5642
s1,T3,1739,533,533,537.5,451.5,692.9,482,482,551.0,502.0,0.941,50.5,0.1048,1.4376
s1,T3,3162,555,555,604.5,546.5,721.5,506,506,581.0,592.0,0.94,45.5,0.0899,1.4259
s1,T3,4585,582,582,651.0,536.0,756.6,495,495,636.5,587.5,0.948,51.5,0.104,1.5285
s2,T1,1739,505,505,526.5,447.5,656.5,432,432,541.0,496.0,0.945,48.5,0.1123,1.5197
s2,T1,3162,499,499,501.5,486.5,648.7,426,426,528.0,531.0,0.963,44.5,0.1045,1.5228
s2,T1,4585,502,502,494.0,481.0,652.6,431,431,522.5,520.5,0.923,39.5,0.0916,1.5142
s2,T2,1739,514,514,583.0,503.0,668.2,460,460,588.0,547.0,0.932,44.0,0.0957,1.4526
s2,T2,3162,518,518,541.0,365.0,673.4,356,355,558.0,454.5,0.985,89.5,0.2521,1.8916
s2,T2,4585,527,527,404.5,426.5,685.1,450,450,457.0,478.0,0.94,51.5,0.1144,1.5224
s2,T3,1739,532,532,481.0,522.0,691.6,471,471,499.5,567.5,0.942,45.5,0.0966,1.4684
s2,T3,3162,517,517,516.5,535.5,672.1,455,455,526.5,576.5,0.951,41.0,0.0901,1.4771
s2,T3,4585,522,522,437.0,483.0,678.6,444,444,471.0,536.0,0.959,53.0,0.1194,1.5284
s3,T1,1739,482,482,446.0,424.0,626.6,395,395,447.5,494.5,0.993,70.5,0.1785,1.5863
s3,T1,3162,481,481,430.5,428.5,625.3,385,385,436.5,503.5,0.996,75.0,0.1948,1.6242
s3,T1,4585,482,482,427.0,430.0,626.6,380,380,432.0,501.0,0.995,71.0,0.1868,1.6489
s3,T2,1739,464,464,459.0,388.0,603.2,369,369,446.5,469.5,0.99,81.5,0.2209,1.6347
s3,T2,3162,501,501,455.5,421.5,651.3,410,410,441.0,492.0,0.974,70.5,0.172,1.5885
s3,T2,4585,489,489,461.5,421.5,635.7,390,390,461.0,491.0,0.993,69.5,0.1782,1.63
s3,T3,1739,448,448,405.0,382.0,582.4,376,376,397.0,453.0,0.986,71.0,0.1888,1.5489
s3,T3,3162,467,467,352.5,408.5,607.1,394,394,373.0,472.0,0.949,63.5,0.1612,1.5409
s3,T3,4585,474,474,351.0,433.0,616.2,397,397,367.5,507.5,0.903,74.5,0.1877,1.5521
s4,T1,1739,549,549,521.5,535.5,713.7,413,413,580.5,585.5,0.992,50.0,0.1211,1.7281
s4,T1,3162,509,509,635.5,461.5,661.7,426,426,612.0,532.0,0.938,70.5,0.1655,1.5533
s4,T1,4585,524,524,563.0,513.0,681.2,417,417,594.5,575.5,0.955,62.5,0.1499,1.6336
s4,T2,1739,502,502,586.0,386.0,652.6,419,419,579.5,458.5,0.932,72.5,0.173,1.5575
s4,T2,3162,513,513,605.5,391.5,666.9,420,420,592.0,466.0,0.931,74.5,0.1774,1.5879
s4,T2,4585,499,499,665.5,379.5,648.7,387,387,637.5,466.5,0.972,87.0,0.2248,1.6762
s4,T3,1739,557,557,510.5,537.5,724.1,486,486,550.0,586.0,0.942,48.5,0.0998,1.4899
s4,T3,3162,600,600,546.0,570.0,780.0,509,509,567.5,601.5,0.942,31.5,0.0619,1.5324
s4,T3,4585,484,484,691.0,597.0,629.2,504,503,591.0,656.5,0.931,59.5,0.1183,1.2484
