subject,task,phase_group,frame_idx,score,iod_px,bbox_side_px,min_boundary_frac,right_eye_norm_x,right_eye_norm_y,left_eye_norm_x,left_eye_norm_y,nose_tip_norm_x,nose_tip_norm_y,right_ear_norm_x,right_ear_norm_y,left_ear_norm_x,left_ear_norm_y
s1,T1,T1_rest,1739,0.926,180.6,476.2,0.4515,-0.1077,-0.1751,0.27,-0.141,0.1132,0.1355,-0.4114,-0.1858,0.3807,-0.1081
s1,T1,T1_rest,3162,0.937,183.2,481.1,0.4496,-0.1042,-0.1866,0.2728,-0.1329,0.1065,0.1389,-0.4128,-0.2102,0.3866,-0.1007
s1,T1,T1_rest,4585,0.924,187.6,486.4,0.439,-0.1012,-0.1856,0.2822,-0.1434,0.126,0.1282,-0.4207,-0.1993,0.3905,-0.1116
s1,T2,T2T3_stress,1739,0.935,177.0,475.1,0.4337,-0.0036,-0.2477,0.3623,-0.1773,0.2602,0.04,-0.4247,-0.2184,0.3651,-0.0732
s1,T2,T2T3_stress,3162,0.937,183.0,469.7,0.4258,-0.083,-0.2349,0.3051,-0.1993,0.1644,0.0402,-0.4306,-0.1868,0.3882,-0.1058
s1,T2,T2T3_stress,4585,0.926,188.6,438.3,0.3643,-0.0854,-0.2887,0.3414,-0.2352,0.187,-0.0453,-0.4767,-0.1858,0.4256,-0.0791
s1,T3,T2T3_stress,1739,0.941,196.1,482.4,0.4455,-0.2159,-0.2087,0.1906,-0.2058,-0.0233,0.0581,-0.4159,-0.1429,0.413,-0.1342
s1,T3,T2T3_stress,3162,0.94,197.5,506.4,0.4394,-0.1374,-0.2228,0.2508,-0.1855,0.0781,0.0689,-0.4205,-0.1762,0.3936,-0.1099
s1,T3,T2T3_stress,4585,0.948,202.9,495.8,0.4305,-0.1694,-0.2241,0.2386,-0.1925,0.0404,0.0495,-0.4272,-0.1644,0.4132,-0.1027
s2,T1,T1_rest,1739,0.945,178.0,432.4,0.4334,-0.2291,-0.2311,0.1817,-0.206,-0.0593,0.0342,-0.4206,-0.1636,0.425,-0.1089
s2,T1,T1_rest,3162,0.963,175.1,426.5,0.4117,-0.2555,-0.2242,0.1549,-0.2113,-0.09,0.0379,-0.4158,-0.1472,0.4412,-0.1298
s2,T1,T1_rest,4585,0.923,176.7,431.5,0.413,-0.2617,-0.2108,0.1479,-0.2097,-0.0937,0.0491,-0.4129,-0.136,0.4403,-0.1417
s2,T2,T2T3_stress,1739,0.932,188.9,460.4,0.4343,-0.1984,-0.2294,0.2089,-0.1813,-0.0197,0.0575,-0.4233,-0.1928,0.4242,-0.1025
s2,T2,T2T3_stress,3162,0.985,174.1,356.0,0.3191,-0.2438,-0.3686,0.2415,-0.3072,-0.05,-0.2367,-0.5107,-0.1301,0.5068,0.0049
s2,T2,T2T3_stress,4585,0.94,180.4,450.6,0.4273,-0.3034,-0.1943,0.0941,-0.2432,-0.1434,0.039,-0.3961,-0.0894,0.4295,-0.1909
s2,T3,T2T3_stress,1739,0.942,195.7,471.7,0.4236,-0.2289,-0.2134,0.1857,-0.2015,-0.0386,0.0564,-0.4232,-0.141,0.4323,-0.1282
s2,T3,T2T3_stress,3162,0.951,186.6,455.6,0.4355,-0.2088,-0.2094,0.1991,-0.172,-0.0347,0.0863,-0.4209,-0.1789,0.4234,-0.1031
s2,T3,T2T3_stress,4585,0.959,189.1,444.9,0.3935,-0.2911,-0.2092,0.1329,-0.2394,-0.1136,0.0247,-0.4201,-0.1037,0.4549,-0.1664
s3,T1,T1_rest,1739,0.993,183.3,395.3,0.338,-0.2093,-0.3259,0.2527,-0.2858,0.0043,-0.1362,-0.4965,-0.1527,0.4764,-0.0606
s3,T1,T1_rest,3162,0.996,183.5,385.5,0.3176,-0.222,-0.3409,0.2527,-0.306,-0.003,-0.1798,-0.5118,-0.1342,0.489,-0.0491
s3,T1,T1_rest,4585,0.995,182.5,380.6,0.3123,-0.2191,-0.3458,0.2589,-0.3064,0.0033,-0.194,-0.5158,-0.1302,0.4932,-0.0403
s3,T2,T2T3_stress,1739,0.99,180.3,369.8,0.2787,-0.2002,-0.3248,0.2872,-0.3333,0.0919,-0.2192,-0.541,-0.0609,0.4922,-0.0947
s3,T2,T2T3_stress,3162,0.974,187.0,410.6,0.3331,-0.1747,-0.2729,0.2806,-0.2778,0.1021,-0.0739,-0.5002,-0.1182,0.4545,-0.1329
s3,T2,T2T3_stress,4585,0.993,185.9,390.1,0.3101,-0.2213,-0.3105,0.255,-0.3266,0.0421,-0.1742,-0.5175,-0.0717,0.4902,-0.1096
s3,T3,T2T3_stress,1739,0.986,173.6,376.6,0.3267,-0.1837,-0.3193,0.2771,-0.31,0.0808,-0.1685,-0.505,-0.099,0.469,-0.0887
s3,T3,T2T3_stress,3162,0.949,179.0,394.2,0.363,-0.2511,-0.2826,0.2031,-0.2855,-0.0442,-0.0982,-0.4778,-0.1078,0.4702,-0.099
s3,T3,T2T3_stress,4585,0.903,188.2,397.7,0.3372,-0.2655,-0.3014,0.2068,-0.3318,-0.0352,-0.1714,-0.4916,-0.0604,0.4971,-0.1152
s4,T1,T1_rest,1739,0.992,181.6,413.6,0.3742,-0.3461,-0.1722,0.0733,-0.3021,-0.1509,-0.0088,-0.4195,-0.0109,0.4693,-0.2689
s4,T1,T1_rest,3162,0.938,182.9,427.0,0.3815,-0.1449,-0.2641,0.2835,-0.2717,0.1296,-0.0557,-0.4639,-0.1109,0.4313,-0.1306
s4,T1,T1_rest,4585,0.955,186.0,417.1,0.4067,-0.2933,-0.155,0.1325,-0.2873,-0.0464,0.0215,-0.4406,-0.0013,0.445,-0.2585
s4,T2,T2T3_stress,1739,0.932,182.7,419.2,0.3758,-0.1544,-0.2749,0.2806,-0.2468,0.0935,-0.0419,-0.4681,-0.1582,0.4354,-0.1027
s4,T2,T2T3_stress,3162,0.931,181.4,420.9,0.3788,-0.1548,-0.2755,0.276,-0.2612,0.1025,-0.0559,-0.4659,-0.1389,0.4301,-0.1183
s4,T2,T2T3_stress,4585,0.972,176.1,387.4,0.3227,-0.1145,-0.3349,0.3348,-0.2651,0.1554,-0.144,-0.508,-0.1665,0.4474,-0.0412
s4,T3,T2T3_stress,1739,0.942,200.8,487.0,0.426,-0.2895,-0.1776,0.1174,-0.2441,-0.1,0.0481,-0.4048,-0.0725,0.4305,-0.2033
s4,T3,T2T3_stress,3162,0.942,208.0,509.4,0.4451,-0.2209,-0.1902,0.1869,-0.1666,-0.0399,0.1106,-0.4162,-0.1677,0.4149,-0.1285
s4,T3,T2T3_stress,4585,0.931,144.9,504.0,0.4391,0.0849,-0.1905,0.3706,-0.1576,0.3581,0.103,-0.4207,-0.2151,0.2376,-0.1168
