MANIFEST BOX-GEOMETRY AUDIT (2026-09-23)
Committed rule: w = IOD * 3.566283 * 1.5 -> expected per-frame w/IOD = 5.3494
Caveat: alpha=0.5 crops were cut using the constant, so their ratios are circular.

--- alpha=1.0 pass (preserved manifests; PNGs overwritten) ---
clip      n_OK  non-OK  mean w/IOD    stdev     min     max  implied c
s1 T1     1799       1      5.3467   0.0016   5.345   5.348     3.5645
s1 T2     1799       1      5.3468   0.0016   5.345   5.348     3.5645
s1 T3     1799       1      5.3469   0.0015   5.346   5.348     3.5646
s2 T1     1799       1      5.3466   0.0016   5.345   5.348     3.5644
s2 T2     1799       1      5.3467   0.0016   5.345   5.348     3.5645
s2 T3     1797       3      5.3468   0.0016   5.345   5.348     3.5645
s3 T1     1799       1      5.3467   0.0016   5.345   5.348     3.5645
s3 T2     1799       1      5.3467   0.0016   5.345   5.348     3.5645
s3 T3     1799       1      5.3467   0.0016   5.345   5.348     3.5645
s4 T1     1799       1      5.3467   0.0016   5.345   5.348     3.5645
s4 T2     1799       1      3.3709   0.1456   3.269   3.456     2.2473
s4 T3     1784      16      3.7259   0.4868   3.535   3.713     2.4840

--- alpha=0.5 pass (current artifacts) ---
clip      n_OK  non-OK  mean w/IOD    stdev     min     max  implied c
s1 T1     1799       1      5.3440   0.0178   5.334   5.354     3.5627
s1 T2     1799       1      5.3445   0.0432   5.325   5.363     3.5630
s1 T3     1799       1      5.3439   0.0326   5.328   5.357     3.5626
s2 T1     1799       1      5.3437   0.0132   5.338   5.350     3.5625
s2 T2     1799       1      5.3451   0.0538   5.321   5.365     3.5634
s2 T3     1797       3      5.3459   0.0863   5.319   5.371     3.5639
s3 T1     1799       1      5.3439   0.0128   5.336   5.352     3.5626
s3 T2     1799       1      5.3445   0.0344   5.327   5.362     3.5630
s3 T3     1799       1      5.3438   0.0378   5.325   5.362     3.5625
s4 T1     1799       1      5.3442   0.0284   5.334   5.354     3.5628
s4 T2     1799       1      5.3444   0.0428   5.321   5.369     3.5629
s4 T3     1784      16      5.3507   0.2719   5.324   5.361     3.5672
