s1,t1,s2,t2,r
s1,T1,s1,T2,0.17343906716543303
s1,T1,s1,T3,0.10060326855217622
s1,T1,s2,T1,0.07833820561526293
s1,T1,s2,T2,0.031061921084496662
s1,T1,s2,T3,0.05758967302265367
s1,T1,s3,T1,0.036363459123478076
s1,T1,s3,T2,0.08497338149646998
s1,T1,s3,T3,0.042651718634522745
s1,T1,s4,T1,0.028419319527323874
s1,T1,s4,T2,0.025668678482411635
s1,T1,s4,T3,0.0343219862436979
s1,T2,s1,T1,0.019672860489031836
s1,T2,s1,T3,0.04888681911655756
s1,T2,s2,T1,0.11301126770110816
s1,T2,s2,T2,0.026474743743557343
s1,T2,s2,T3,0.0838721332720291
s1,T2,s3,T1,0.009334244313279621
s1,T2,s3,T2,0.054912087495977965
s1,T2,s3,T3,0.050840714142065785
s1,T2,s4,T1,0.04007903981208801
s1,T2,s4,T2,0.04966682038544565
s1,T2,s4,T3,0.03469556491187257
s1,T3,s1,T1,0.06518342459473439
s1,T3,s1,T2,0.04786422702161131
s1,T3,s2,T1,0.07304302286375766
s1,T3,s2,T2,0.037379526400156654
s1,T3,s2,T3,0.041931820159049275
s1,T3,s3,T1,0.023853163292153007
s1,T3,s3,T2,0.022343712962513893
s1,T3,s3,T3,0.08230410455765189
s1,T3,s4,T1,0.053823448115726535
s1,T3,s4,T2,0.10520694639661883
s1,T3,s4,T3,0.09641360137843843
s2,T1,s1,T1,0.0998289979888852
s2,T1,s1,T2,0.14928078857421417
s2,T1,s1,T3,0.06614564517581151
s2,T1,s2,T2,0.008875421141840199
s2,T1,s2,T3,0.041458933704741394
s2,T1,s3,T1,0.03046807113885041
s2,T1,s3,T2,0.03682383765676846
s2,T1,s3,T3,0.020439214228288788
s2,T1,s4,T1,0.12055147981044041
s2,T1,s4,T2,0.04603715676735815
s2,T1,s4,T3,0.02648128052253137
s2,T2,s1,T1,0.036417455880895504
s2,T2,s1,T2,0.05642399852468636
s2,T2,s1,T3,0.037697736150800194
s2,T2,s2,T1,0.07589548017752804
s2,T2,s2,T3,0.07754851419804565
s2,T2,s3,T1,0.09240122965368824
s2,T2,s3,T2,0.044278320666894355
s2,T2,s3,T3,0.03221584461694845
s2,T2,s4,T1,0.08211686951389272
s2,T2,s4,T2,0.0489668723136529
s2,T2,s4,T3,0.11660277343977399
s2,T3,s1,T1,0.09324671961320803
s2,T3,s1,T2,0.13429862652880084
s2,T3,s1,T3,0.08893658890181605
s2,T3,s2,T1,0.03976603619324977
s2,T3,s2,T2,0.05589747343621566
s2,T3,s3,T1,0.032124797857322446
s2,T3,s3,T2,0.07536056302549957
s2,T3,s3,T3,0.050906069373282306
s2,T3,s4,T1,0.030014111890478385
s2,T3,s4,T2,0.06685495819103247
s2,T3,s4,T3,0.036998240184362936
s3,T1,s1,T1,0.13558673017390835
s3,T1,s1,T2,0.1671700110323438
s3,T1,s1,T3,0.050140165316294893
s3,T1,s2,T1,0.032530883369372654
s3,T1,s2,T2,0.05364619351654563
s3,T1,s2,T3,0.0160378659151971
s3,T1,s3,T2,0.05496037647581028
s3,T1,s3,T3,0.03543518741180025
s3,T1,s4,T1,0.04662338760213945
s3,T1,s4,T2,0.05535458899835937
s3,T1,s4,T3,0.06443705218027822
s3,T2,s1,T1,0.07925590268606776
s3,T2,s1,T2,0.09589993458794349
s3,T2,s1,T3,0.05152958728447872
s3,T2,s2,T1,0.09662475245336385
s3,T2,s2,T2,0.032581627090423344
s3,T2,s2,T3,0.0807232142295748
s3,T2,s3,T1,0.04494562256323167
s3,T2,s3,T3,0.059607216951838446
s3,T2,s4,T1,0.023556895895135425
s3,T2,s4,T2,0.05586600074876356
s3,T2,s4,T3,0.10247122695864568
s3,T3,s1,T1,0.04368217144616372
s3,T3,s1,T2,0.0741983107518198
s3,T3,s1,T3,0.05988029245612119
s3,T3,s2,T1,0.03403660172554374
s3,T3,s2,T2,0.024940244612665946
s3,T3,s2,T3,0.0862190310625407
s3,T3,s3,T1,0.03822469913884109
s3,T3,s3,T2,0.07454861088747378
s3,T3,s4,T1,0.053427957085077894
s3,T3,s4,T2,0.08750478891507246
s3,T3,s4,T3,0.07184522408727038
s4,T1,s1,T1,0.04789725350793834
s4,T1,s1,T2,0.15842954350304242
s4,T1,s1,T3,0.09735387624945496
s4,T1,s2,T1,0.07945756455024618
s4,T1,s2,T2,0.030420562909098437
s4,T1,s2,T3,0.08006969135746705
s4,T1,s3,T1,0.01282498996637724
s4,T1,s3,T2,0.02537027936939509
s4,T1,s3,T3,0.028378095843001366
s4,T1,s4,T2,0.08653899697765306
s4,T1,s4,T3,0.05097036649131579
s4,T2,s1,T1,0.08883105081346897
s4,T2,s1,T2,0.10306238545386574
s4,T2,s1,T3,0.06303099877623307
s4,T2,s2,T1,0.05874577777566068
s4,T2,s2,T2,0.09042809246673474
s4,T2,s2,T3,0.05789242881315614
s4,T2,s3,T1,0.03144425675402943
s4,T2,s3,T2,0.06476255251189035
s4,T2,s3,T3,0.07501187502275178
s4,T2,s4,T1,0.05311974398590219
s4,T2,s4,T3,0.07606576086973793
s4,T3,s1,T1,0.021545436653711156
s4,T3,s1,T2,0.028131549311151593
s4,T3,s1,T3,0.03466771288636306
s4,T3,s2,T1,0.05745184550733399
s4,T3,s2,T2,0.05962090159235983
s4,T3,s2,T3,0.057615441698703515
s4,T3,s3,T1,0.08404570710648983
s4,T3,s3,T2,0.0638873367779762
s4,T3,s3,T3,0.03259590118161171
s4,T3,s4,T1,0.07511580489077398
s4,T3,s4,T2,0.10824745639394817
