subject,task,bvp_f_peak_hz,rppg_f_peak_hz,abs_delta_hz,rppg_pulse_band_frac,rppg_low_subband_frac,rppg_peak_snr,bvp_pulse_band_frac,bvp_peak_snr,verdict
s1,T1,1.2305,1.2305,0.0000,0.8151,0.0726,33.98,0.8437,35.90,PEAK_MATCH
s1,T2,0.7617,1.3184,0.5566,0.8311,0.1159,13.41,0.8894,19.03,NO_MATCH
s1,T3,1.2598,1.1719,0.0879,0.8014,0.1551,13.29,0.8943,22.86,PEAK_MATCH
s2,T1,0.9082,0.9082,0.0000,0.8920,0.5027,53.47,0.8945,66.59,PEAK_MATCH
s2,T2,0.9961,0.9961,0.0000,0.9011,0.4473,44.03,0.8888,22.08,PEAK_MATCH
s2,T3,1.2305,0.9082,0.3223,0.7272,0.2365,6.21,0.8931,25.73,NO_MATCH
s3,T1,1.4648,1.4062,0.0586,0.7469,0.1573,13.81,0.8904,166.87,PEAK_MATCH
s3,T2,1.6406,1.2305,0.4102,0.7594,0.1889,6.84,0.9070,59.26,NO_MATCH
s3,T3,1.6992,1.0547,0.6445,0.6768,0.1606,5.36,0.9131,192.73,NO_MATCH
s4,T1,0.8789,0.8203,0.0586,0.8993,0.5711,27.50,0.9039,20.72,PEAK_MATCH
s4,T2,1.0840,0.8789,0.2051,0.7431,0.3021,10.30,0.9015,26.27,NO_MATCH
s4,T3,1.3770,0.8496,0.5273,0.8501,0.3046,14.46,0.9180,22.39,NO_MATCH
