source_id,source_domain,relative_path,absolute_path,file_extension,file_size_bytes,file_sha256,pixel_sha256,perceptual_hash,width,height,channels,face_count,largest_face_width,largest_face_height,decode_status,license_status,provenance_status,status,exclusion_reasons
ffhq:00000.png,FFHQ,00000.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00000.png,.png,104527,556e67799296565e941b5fc4af025a5efc24f8ff4c244a08d2d5e4d917c04186,c3dafaca8321731b07d17931e017842a77b239f14de2f9eff9836f3787043fe1,0101110011100110110000111101011111000011000010111000001111110001,256,256,3,1,146,170,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00001.png,FFHQ,00001.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00001.png,.png,109958,775f913a6f2969f89caa4be6467d832d1e3d3034b0d09009b696ba717225e17e,6fc0ff6c66d6154f7262af8d582f7fbd46c89debe63d58966c1a908bb1abf1aa,1110100011100000011100000111010001101000001000000111001011110001,256,256,3,0,,,ok,verify_per_image_metadata,dataset_metadata_required,rejected,license_review_required;no_face_detected;provenance_review_required
ffhq:00002.png,FFHQ,00002.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00002.png,.png,91341,f8df5fbac52541a1a58703872631b416d47187fe6971e1412624526749d4c427,5aadc231e363b7d0c07b474ac55a16bde0df00167f202fc346cb38add750a270,0000111000110011011100110101001101010110011001111111001111100001,256,256,3,1,141,178,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00003.png,FFHQ,00003.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00003.png,.png,101213,070f2b1076aa5043fbbb32ebc2f4b02d51071e2773c4c27e8a31979de18ed50a,fc3cdebb8333e2f7f5364fe4fdc72a7aeac9e295aaf10f9838176f7262199337,0001011100111001011110010101010101101001011010010000111010001110,256,256,3,1,139,173,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00004.png,FFHQ,00004.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00004.png,.png,121505,964553990a2794d9bdb6c1dd3ef1c5319a3f759385f4c30e7e59ac1f8c978406,5a5a9aa075fdbb09b112be035fede9271e1e6d799203cfddcbf72a1e80eb3691,1001011010010111101100111001001110001011101000011011100110101011,256,256,3,1,127,186,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00005.png,FFHQ,00005.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00005.png,.png,98305,9be327b061973a6ef086be7f7228b01c562de8cd1a0998ed636a054e7ae30dea,8673b76d9ef349c53c6dd391fb2dd415d0c90e1e5aafb89e76f87b97a625a10c,1110000111110001111100011111000111110001111110011111100100000101,256,256,3,1,117,175,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00006.png,FFHQ,00006.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00006.png,.png,106188,c2c328faa15eac592a450472fdc7eb589afaed8a4ccbf09e8f7795255e3d1d88,bd67c38d0b9a1070aedf8628f1b3c1b103aafeb5178d3bd14be64b07713903dd,0001100000111000001110000011010000110100001111000001100100011110,256,256,3,0,,,ok,verify_per_image_metadata,dataset_metadata_required,rejected,license_review_required;no_face_detected;provenance_review_required
ffhq:00007.png,FFHQ,00007.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00007.png,.png,109795,93b5eddab43ad4129ee54e6878d7f26419ef161355ace2735d70a28fec540b1d,1351d1581c02a6633f2f7c2b2bf1018107eb5923dddd92f0ec88ada87f3ac033,0100010111001001111000011101000111010000110000001111001001000111,256,256,3,0,,,ok,verify_per_image_metadata,dataset_metadata_required,rejected,license_review_required;no_face_detected;provenance_review_required
ffhq:00008.png,FFHQ,00008.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00008.png,.png,104650,1693621960ea252603b04c1daa4748e4153d1f61694392e1f88e2d3180ba8cd1,f13111f7e1896e1d87ae0aca7ac6d8d27d852e479d0b6024f9dce16cfa70aeab,0011011000111110011110010111100101111001011100011111100111011101,256,256,3,1,135,162,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00009.png,FFHQ,00009.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00009.png,.png,86510,b56998bcd3bdfa048f0266142a9d505e02612c45646f5e6ed4470bce5a493d42,fa54b9db4daef7880a2e7d2ebecdc14cfaa9dd8e1c8af663587eb34e7367473c,0001101111100011110101101001011011001111110101111111111110111100,256,256,3,0,,,ok,verify_per_image_metadata,dataset_metadata_required,rejected,license_review_required;no_face_detected;provenance_review_required
ffhq:00010.png,FFHQ,00010.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00010.png,.png,111057,400fe8452ed9ece8527c6d4cfde20fb2afd778acdd7cd627fc9b1402727c54ba,8db99c587b8d5dcdf5f00d16185f98fe8d822fc378be830dd2263a17b9f57b66,0010101101111001111100011111000011100000111100001000011010110000,256,256,3,1,137,175,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00011.png,FFHQ,00011.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00011.png,.png,101449,6ea784aada06dc4f75d724cfd8ebd0aebde44eee144dd490bf8f50b861b2f7e0,5a3e8dc89193f3df1c28616802b883a221aa91b0ead194dcae6a4314d3bba9fc,0011011000001111001100100111001000101010000100111011011110010111,256,256,3,0,,,ok,verify_per_image_metadata,dataset_metadata_required,rejected,license_review_required;no_face_detected;provenance_review_required
ffhq:00012.png,FFHQ,00012.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00012.png,.png,87855,d7d95d4a5f27a83b67145ecfb8f3a26859fae08af9db1ce9793d833b4d51567e,929979922010ca269b98912db50df7fcfd7e5eacf5867de6f504cc76225ed6d5,1000111010110011001100110011001100101011000010101001011001001110,256,256,3,1,126,195,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00013.png,FFHQ,00013.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00013.png,.png,110690,1b94aded1e5e5e1d625f3133fca7d23b42dd7084e79730431875b4719ad007f5,09639b71c0429cca17b64e968c680903a2323b6e1494fcad3379b622465abd0a,1000110000001110001010110101001100000001110011101010110010001110,256,256,3,1,135,177,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00014.png,FFHQ,00014.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00014.png,.png,114511,9acbfdfc4c67fed9ccf1fc52cff5408bdee7d8830ff4e373344aeda0c0dd3461,3a6e857b2538343f6aa4e50b267efbe592ca9afc61fdaf0005b6b458dd4b85c3,1001100100111111001100110101010100110001000010111001011010101100,256,256,3,2,140,169,ok,verify_per_image_metadata,dataset_metadata_required,rejected,face_count_not_one;license_review_required;provenance_review_required
ffhq:00015.png,FFHQ,00015.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00015.png,.png,96336,3b3e43e99d5647ba5e32d5131f51a26a8a2f0dfa35499f932b0fef668a10be9d,cf056e170f5c0ba46d57e358f01f57c322b4f438e702023f10eda2da90536ace,1010101100101011001111011001010110111100101111011001100101111100,256,256,3,0,,,ok,verify_per_image_metadata,dataset_metadata_required,rejected,license_review_required;no_face_detected;provenance_review_required
ffhq:00016.png,FFHQ,00016.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00016.png,.png,111700,34bb5ae98c7001f77f4b6b962becbde0d49e0f2ae1db40b243598d42b2ef77c1,b5e77b9953b38cdd5c9988eecd97a1f070d1948f064ee45bf69180985fa50462,1000110000110001001100110111001101101001011000010111000111110011,256,256,3,0,,,ok,verify_per_image_metadata,dataset_metadata_required,rejected,license_review_required;no_face_detected;provenance_review_required
ffhq:00017.png,FFHQ,00017.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00017.png,.png,79969,f2b9af1e8792b97fc6f342cee7b58623f435e9603df60c736003300f468ed72d,06ea303b1698c26042f0d9d4cb91a706703c6f800a21b002ad6727889fb1c59f,1101111000011111011111110101011001110110010111100011111000011010,256,256,3,0,,,ok,verify_per_image_metadata,dataset_metadata_required,rejected,license_review_required;no_face_detected;provenance_review_required
