source_id,source_domain,relative_path,absolute_path,file_extension,file_size_bytes,file_sha256,pixel_sha256,perceptual_hash,width,height,channels,face_count,largest_face_width,largest_face_height,decode_status,license_status,provenance_status,status,exclusion_reasons
ffhq:00000.png,FFHQ,00000.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00000.png,.png,104527,556e67799296565e941b5fc4af025a5efc24f8ff4c244a08d2d5e4d917c04186,c3dafaca8321731b07d17931e017842a77b239f14de2f9eff9836f3787043fe1,0101110011100110110000111101011111000011000010111000001111110001,256,256,3,1,171,171,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00001.png,FFHQ,00001.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00001.png,.png,109958,775f913a6f2969f89caa4be6467d832d1e3d3034b0d09009b696ba717225e17e,6fc0ff6c66d6154f7262af8d582f7fbd46c89debe63d58966c1a908bb1abf1aa,1110100011100000011100000111010001101000001000000111001011110001,256,256,3,1,174,174,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00002.png,FFHQ,00002.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00002.png,.png,91341,f8df5fbac52541a1a58703872631b416d47187fe6971e1412624526749d4c427,5aadc231e363b7d0c07b474ac55a16bde0df00167f202fc346cb38add750a270,0000111000110011011100110101001101010110011001111111001111100001,256,256,3,1,169,169,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00003.png,FFHQ,00003.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00003.png,.png,101213,070f2b1076aa5043fbbb32ebc2f4b02d51071e2773c4c27e8a31979de18ed50a,fc3cdebb8333e2f7f5364fe4fdc72a7aeac9e295aaf10f9838176f7262199337,0001011100111001011110010101010101101001011010010000111010001110,256,256,3,1,187,187,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
ffhq:00004.png,FFHQ,00004.png,C:\Users\USERAS\thesis_project\data\raw\FFHQ\00004.png,.png,121505,964553990a2794d9bdb6c1dd3ef1c5319a3f759385f4c30e7e59ac1f8c978406,5a5a9aa075fdbb09b112be035fede9271e1e6d799203cfddcbf72a1e80eb3691,1001011010010111101100111001001110001011101000011011100110101011,256,256,3,1,177,177,ok,verify_per_image_metadata,dataset_metadata_required,pending_review,license_review_required;provenance_review_required
celeba:000001.jpg,CelebA,000001.jpg,C:\Users\USERAS\thesis_project\data\raw\img_align_celeba\000001.jpg,.jpg,11440,25dab950d4af019655d4f8b702575fe3935c9575b8f3c76a1d6c9d80449a64e9,e73425758f48d041de9e486dbc3cb087a6e035a162b4fa55929b8849acff42cd,1111001111000111000101100011000100110101101100010001100000011100,178,218,3,1,100,100,ok,restricted_noncommercial_pending_review,dataset_metadata_required,rejected,license_review_required;provenance_review_required;resolution_below_threshold
celeba:000002.jpg,CelebA,000002.jpg,C:\Users\USERAS\thesis_project\data\raw\img_align_celeba\000002.jpg,.jpg,7448,5a9e15421fa305ea01c62f7cfbd07f640d627ebde5a76f59e943c27cf4b7f747,e17a64cf718f2a4e959acd5200f961cecb4259c6dbd5d0f5d8b8c48bc7f941dd,1011110001101100111110010111100010110100110111001100100111101001,178,218,3,1,111,111,ok,restricted_noncommercial_pending_review,dataset_metadata_required,rejected,license_review_required;provenance_review_required;resolution_below_threshold
celeba:000003.jpg,CelebA,000003.jpg,C:\Users\USERAS\thesis_project\data\raw\img_align_celeba\000003.jpg,.jpg,4253,576b6846982b0bba11f56bc2a0b9d946dc5f4f11d58510bbb1f7b466f32aaa8a,a82b19d33d87e12ed766c23d1773566e658a4a7ae01be374600e737b3b265544,0110111101111110011111000111001101011100110110000011000001010000,178,218,3,0,,,ok,restricted_noncommercial_pending_review,dataset_metadata_required,rejected,license_review_required;no_face_detected;provenance_review_required;resolution_below_threshold
celeba:000004.jpg,CelebA,000004.jpg,C:\Users\USERAS\thesis_project\data\raw\img_align_celeba\000004.jpg,.jpg,10747,69db48eadb139dcbe6e30df03284aa78ce9f0782b3d3fcba693982b95cbf8eb4,8d626c1845ede1ae54e2d906367859eecf654b8dde5bc67b0fb64577f4aefa95,0000110011000000011010000101000111010011111000011110000111110010,178,218,3,0,,,ok,restricted_noncommercial_pending_review,dataset_metadata_required,rejected,license_review_required;no_face_detected;provenance_review_required;resolution_below_threshold
celeba:000005.jpg,CelebA,000005.jpg,C:\Users\USERAS\thesis_project\data\raw\img_align_celeba\000005.jpg,.jpg,6351,0acac5af2efe06ecaaded431943420cdfbd98ebe88d845da95bed4c409549f95,e54788b5a365035d883cc84e07997c0bf461d0fb27b856c07d36256680d6ca11,1001111100101110001101110011000100111101001110010011111000011111,178,218,3,1,118,118,ok,restricted_noncommercial_pending_review,dataset_metadata_required,rejected,license_review_required;provenance_review_required;resolution_below_threshold
