review_id,face_id,split,morphology,image_path,face_source_sha256
review_20926686c1ce,face_3931760e2d3ad3bc,train,irregular_atrophic_like,data\publishable_scar_strict_pilot2\scarred\face_3931760e2d3ad3bc.png,3931760e2d3ad3bc8518ff1598aab1c3081a37adffc5c44e73efe6a60aa57c4f
review_56dd997d0d66,face_75394d3c636340f1,val,irregular_atrophic_like,data\publishable_scar_strict_pilot2\scarred\face_75394d3c636340f1.png,75394d3c636340f178e8a779f042db7f6990940891de6a8d97bb05f31230929d
review_58367ba5dde2,face_e0fd1447d5f49610,train,linear_immature,data\publishable_scar_strict_pilot2\scarred\face_e0fd1447d5f49610.png,e0fd1447d5f4961018f5405f19b47d02b016b92fa648c00afdad9e6e635d10c6
review_b1c7d85aaeae,face_a5170759009103ec,train,short_clustered,data\publishable_scar_strict_pilot2\scarred\face_a5170759009103ec.png,a5170759009103ec3f6a53429907f447805e93535a7ed5858730f922cd039a80
review_71d4ddc1557a,face_1693621960ea2526,val,short_clustered,data\publishable_scar_strict_pilot2\scarred\face_1693621960ea2526.png,1693621960ea252603b04c1daa4748e4153d1f61694392e1f88e2d3180ba8cd1
review_7f63933b807a,face_964553990a2794d9,test,linear_mature,data\publishable_scar_strict_pilot2\scarred\face_964553990a2794d9.png,964553990a2794d9bdb6c1dd3ef1c5319a3f759385f4c30e7e59ac1f8c978406
review_bdfd1d7786c9,face_fe1533a5c1d0c3c0,train,linear_mature,data\publishable_scar_strict_pilot2\scarred\face_fe1533a5c1d0c3c0.png,fe1533a5c1d0c3c0dff6a5982f7feeb20e5e15676b22e59588bb4bacd5b23be1
review_fd21fa8650da,face_400fe8452ed9ece8,test,linear_mature,data\publishable_scar_strict_pilot2\scarred\face_400fe8452ed9ece8.png,400fe8452ed9ece8527c6d4cfde20fb2afd778acdd7cd627fc9b1402727c54ba
review_94354077acdd,face_9be327b061973a6e,train,irregular_atrophic_like,data\publishable_scar_strict_pilot2\scarred\face_9be327b061973a6e.png,9be327b061973a6ef086be7f7228b01c562de8cd1a0998ed636a054e7ae30dea
review_669a72c8e33f,face_f8df5fbac52541a1,train,short_clustered,data\publishable_scar_strict_pilot2\scarred\face_f8df5fbac52541a1.png,f8df5fbac52541a1a58703872631b416d47187fe6971e1412624526749d4c427
review_d7c19931b7fd,face_32f6c975d7058324,train,linear_immature,data\publishable_scar_strict_pilot2\scarred\face_32f6c975d7058324.png,32f6c975d70583243a6a7db0566e74d78f67f85d64f1076f4b5aa0dc1322b335
review_0a6ef01c8fef,face_7f79cc5061ee7193,test,linear_immature,data\publishable_scar_strict_pilot2\scarred\face_7f79cc5061ee7193.png,7f79cc5061ee719384bd4af28a8f3fd942f610bb8dc3322fa9d355dc247606dd
review_0e19cf4acf4b,face_7c04f4a5e294ff10,train,linear_mature,data\publishable_scar_strict_pilot2\scarred\face_7c04f4a5e294ff10.png,7c04f4a5e294ff105ca56e430a79e1ba51e902c561d40b852a08eecb39c83e75
review_f11ab15adc88,face_c26ba17d535f7af8,val,short_clustered,data\publishable_scar_strict_pilot2\scarred\face_c26ba17d535f7af8.png,c26ba17d535f7af8f40210070a29e106e83087011c810fa838816d9385c1e5a3
review_c7b4e65e9008,face_5b3e6af68affd452,train,irregular_atrophic_like,data\publishable_scar_strict_pilot2\scarred\face_5b3e6af68affd452.png,5b3e6af68affd452c26fceecb402bb614e755f3d6575ac194067d57c6bd7b7a3
review_71052e4d198d,face_000a6cbc57b07444,train,linear_immature,data\publishable_scar_strict_pilot2\scarred\face_000a6cbc57b07444.png,000a6cbc57b074446571c72bb42f92aa7b2df3ec98e9ef507801399e530bfc8b
