rater_id,rater_expertise,review_id,display_order,anatomical_plausibility,boundary_naturalness,pigmentation_or_vascular_naturalness,texture_and_maturation_consistency,unintended_change_free,overall_visual_plausibility,comments
,,review_20926686c1ce,1,,,,,,,
,,review_56dd997d0d66,2,,,,,,,
,,review_58367ba5dde2,3,,,,,,,
,,review_b1c7d85aaeae,4,,,,,,,
,,review_71d4ddc1557a,5,,,,,,,
,,review_7f63933b807a,6,,,,,,,
,,review_bdfd1d7786c9,7,,,,,,,
,,review_fd21fa8650da,8,,,,,,,
,,review_94354077acdd,9,,,,,,,
,,review_669a72c8e33f,10,,,,,,,
,,review_d7c19931b7fd,11,,,,,,,
,,review_0a6ef01c8fef,12,,,,,,,
,,review_0e19cf4acf4b,13,,,,,,,
,,review_f11ab15adc88,14,,,,,,,
,,review_c7b4e65e9008,15,,,,,,,
,,review_71052e4d198d,16,,,,,,,
