k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,42,99,988,988,441.52,516.63,625.27,536.01,540.37,660.95
2,OK,39,99,990,990,439.91,517.49,624.06,536.41,538.01,661.18
3,OK,41,99,992,992,441.17,517.95,625.8,536.57,541.34,662.75
4,OK,38,99,995,995,438.32,520.05,623.59,536.63,539.55,663.98
5,OK,39,100,993,993,438.88,520.5,623.91,537.1,539.76,664.98
6,OK,40,102,991,991,438.48,521.16,623.12,536.83,539.92,665.85
7,OK,37,100,994,994,437.97,521.39,623.3,536.91,539.18,666.28
8,OK,35,99,998,998,437.07,523.06,623.11,538.01,539.24,667.07
9,OK,37,101,995,995,437.22,522.94,622.76,538.22,539.39,666.54
10,OK,37,103,995,995,437.84,523.6,623.18,539.83,538.73,668.7
11,OK,39,105,990,990,437.2,523.8,621.62,539.35,539.64,668.48
12,OK,41,105,991,991,438.46,523.32,623.09,538.56,541.47,669.51
13,OK,36,100,996,996,436.22,522.45,621.92,537.44,539.21,667.31
14,OK,38,102,994,994,438.42,521.19,623.5,538.57,540.18,669.79
15,OK,42,109,987,987,438.55,524.17,622.36,540.78,539.57,672.03
16,OK,44,110,987,987,439.99,525.32,623.94,540.9,542.9,673.86
17,OK,44,108,989,989,440.37,525.83,624.76,539.43,543.79,672.71
18,OK,46,108,990,990,441.92,527.41,626.73,539.11,548.19,673.13
19,OK,46,110,989,989,441.65,528.43,626.31,540.34,547.15,675.31
20,OK,47,111,987,987,441.86,527.84,626.15,539.98,546.57,674.16
21,OK,46,108,990,990,442.53,527.31,627.32,539.42,547.33,672.9
22,OK,45,107,992,992,442.92,527.94,627.93,540.6,548.36,672.79
23,OK,49,109,990,990,446.65,527.26,631.0,543.75,549.57,673.88
24,OK,54,112,985,985,448.67,526.34,632.29,542.38,552.55,673.82
25,OK,59,115,981,981,451.68,526.92,634.32,544.6,556.28,674.59
26,OK,62,118,975,975,452.09,527.83,633.59,546.08,556.0,674.78
27,OK,58,113,984,984,452.31,527.23,635.33,546.04,557.13,674.24
28,OK,58,116,978,978,450.36,527.69,632.47,544.71,554.17,674.4
29,OK,55,115,980,980,449.09,527.64,631.66,543.78,551.44,675.4
