k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,-209,55,1038,1038,214.86,520.75,407.11,493.68,309.84,641.7
2,OK,-220,65,1041,1041,207.7,533.25,400.02,502.72,297.75,653.86
3,OK,-218,70,1048,1048,210.82,538.45,404.5,508.94,305.78,664.75
4,OK,-214,75,1051,1051,213.89,543.71,408.57,516.47,310.88,670.01
5,OK,-204,78,1049,1049,223.82,545.36,418.62,521.75,320.53,671.64
6,OK,-195,79,1041,1041,226.68,549.45,419.0,519.27,327.82,665.08
7,OK,-190,79,1048,1048,233.72,547.94,428.25,523.89,337.23,671.12
8,OK,-183,86,1039,1039,234.83,550.54,427.29,523.4,341.25,673.89
9,OK,-187,88,1041,1041,232.34,557.1,424.41,525.39,338.77,675.37
10,OK,-185,88,1040,1040,234.43,556.25,426.7,526.39,340.82,675.76
11,OK,-180,88,1035,1035,235.35,554.41,426.45,523.92,343.44,672.59
12,OK,-168,71,1027,1027,244.32,535.34,433.83,504.4,351.76,649.36
13,OK,-155,58,1014,1014,251.95,513.73,439.91,488.26,360.02,630.81
14,OK,-130,39,985,985,266.04,480.76,449.86,468.21,367.5,589.29
15,OK,-112,25,962,962,273.53,454.47,453.25,445.14,376.41,563.97
16,OK,-96,-11,950,950,288.08,407.22,465.37,419.35,383.09,514.79
17,OK,-73,-6,919,919,300.32,394.75,470.85,416.61,388.16,502.31
18,OK,-29,14,871,871,321.71,393.27,483.21,414.13,410.62,495.83
19,OK,-3,30,842,842,336.85,396.0,492.38,421.25,423.3,494.93
20,OK,2,20,859,859,349.31,390.54,507.06,421.09,434.48,492.85
21,OK,4,24,875,875,355.7,401.43,516.61,431.01,446.22,507.01
22,OK,23,51,870,870,378.88,424.91,537.89,459.42,458.66,530.62
23,OK,39,69,878,878,401.5,434.83,559.2,480.74,476.81,559.69
24,OK,58,69,865,865,415.49,426.48,569.83,474.81,488.92,551.49
25,OK,69,64,853,853,419.83,420.42,572.27,467.31,495.0,536.2
26,OK,53,53,864,864,410.13,413.82,564.08,463.03,482.95,531.78
27,OK,35,47,870,870,395.87,411.23,552.51,455.38,466.97,532.32
28,OK,8,40,887,887,373.53,418.86,535.49,454.42,448.58,530.43
29,OK,8,55,874,874,368.95,426.27,528.82,460.79,442.9,541.43
30,OK,7,57,878,878,367.56,429.35,528.06,464.21,445.5,547.04
31,OK,-2,60,885,885,361.96,431.05,523.3,468.37,438.05,555.52
32,OK,-5,66,886,886,358.96,434.95,520.46,472.0,436.96,565.29
33,OK,-26,61,913,913,349.68,442.56,516.64,478.38,428.31,574.69
34,OK,-69,64,972,972,332.07,471.33,512.36,495.31,413.76,618.57
35,OK,-107,70,999,999,307.66,490.85,493.01,513.84,385.15,636.75
36,OK,-158,71,1074,1074,289.79,520.18,488.62,548.05,370.54,682.81
37,OK,-211,69,1138,1138,265.05,549.13,476.66,571.3,347.08,715.82
38,OK,-219,77,1147,1147,262.49,561.19,475.31,587.94,339.38,726.4
39,OK,-224,84,1189,1189,273.56,582.38,494.58,606.45,356.85,762.94
40,OK,-208,113,1175,1175,285.54,596.11,503.45,625.02,363.75,789.79
41,OK,-196,118,1166,1166,293.28,601.12,509.83,626.71,372.56,788.73
42,OK,-205,100,1192,1192,296.94,594.36,518.29,621.34,376.19,784.97
43,OK,-191,98,1180,1180,303.52,591.65,522.95,615.17,385.86,773.52
44,OK,-193,88,1189,1189,305.99,583.77,526.71,610.66,386.89,767.22
45,OK,-195,61,1221,1221,315.0,571.32,541.84,597.57,403.45,757.94
46,OK,-168,58,1211,1211,337.64,557.56,561.25,593.81,424.95,750.41
47,OK,-79,74,1164,1164,403.28,557.02,617.56,595.25,497.45,735.97
48,OK,-33,72,1151,1151,446.73,546.69,656.7,594.39,533.6,724.32
49,OK,4,57,1125,1125,476.13,515.06,680.44,565.51,555.18,698.45
50,OK,53,51,1062,1062,495.1,490.66,689.48,531.27,577.34,654.85
51,OK,103,24,1045,1045,537.97,455.47,727.05,504.88,618.88,613.82
52,OK,130,20,1023,1023,557.04,446.36,741.5,497.32,634.5,591.12
53,OK,151,39,1013,1013,571.59,457.37,755.22,504.14,652.58,609.3
54,OK,137,46,1032,1032,564.92,472.4,752.37,518.64,648.28,629.24
55,OK,132,74,1026,1026,552.38,501.1,739.85,542.29,644.49,654.3
56,OK,97,85,1068,1068,536.81,522.22,731.53,566.77,629.58,693.98
57,OK,38,85,1099,1099,495.08,533.07,695.8,577.63,579.21,712.88
58,OK,-5,78,1136,1136,468.02,546.59,676.81,586.14,554.01,726.57
59,OK,-47,77,1148,1148,431.18,555.81,643.36,588.96,518.09,729.81
60,OK,-69,62,1166,1166,413.67,556.03,630.47,578.77,506.83,723.81
61,OK,-70,52,1154,1154,408.91,539.88,623.47,563.8,497.9,706.45
62,OK,-64,45,1145,1145,411.55,527.55,624.09,554.19,498.86,693.32
63,OK,-88,40,1174,1174,399.89,538.25,618.03,562.43,490.35,705.03
64,OK,-103,43,1187,1187,391.06,544.07,611.69,568.08,479.58,715.98
65,OK,-88,69,1148,1148,388.51,555.43,602.3,575.61,476.87,720.57
66,OK,-99,74,1134,1134,372.87,558.47,584.39,572.86,458.73,718.21
67,OK,-149,31,1131,1131,317.92,527.43,529.08,514.89,410.49,672.75
68,OK,-141,27,1064,1064,294.56,504.91,490.2,468.04,391.04,632.22
69,OK,-126,21,1002,1002,285.36,470.41,469.9,437.56,373.81,591.94
70,OK,-110,7,969,969,286.73,448.33,463.89,410.45,373.28,553.71
71,OK,-108,8,946,946,281.61,443.32,453.07,399.96,363.23,540.81
72,OK,-98,10,948,948,289.21,448.6,459.56,399.56,378.08,545.4
73,OK,-79,9,938,938,304.56,444.3,473.7,397.93,392.13,535.05
74,OK,-52,9,904,904,317.78,435.91,479.53,386.48,403.17,510.95
75,OK,-41,10,888,888,323.54,427.63,482.72,380.5,404.33,504.5
76,OK,-25,14,868,868,329.67,426.31,484.43,377.02,411.81,494.96
77,OK,-16,9,858,858,334.74,420.13,486.77,368.44,417.19,483.02
78,OK,-12,11,853,853,336.35,419.24,488.01,369.62,417.0,480.92
79,OK,-15,22,860,860,337.43,429.73,490.55,380.22,417.79,499.23
80,OK,-28,12,887,887,334.17,434.66,491.58,381.98,418.25,503.57
81,OK,-31,17,888,888,333.0,437.83,491.2,387.14,414.95,510.97
82,OK,-36,15,908,908,333.96,444.87,496.02,394.32,421.19,519.38
83,OK,-27,18,903,903,340.17,447.24,500.52,394.16,428.74,517.94
84,OK,-26,16,911,911,343.65,447.99,505.53,394.55,434.7,521.94
85,OK,-25,18,889,889,338.47,439.51,497.67,391.41,419.94,509.85
86,OK,-18,9,889,889,346.32,430.51,505.49,382.71,426.15,501.27
87,OK,-12,4,891,891,351.21,427.13,510.33,377.33,436.24,497.4
88,OK,-5,-1,881,881,351.88,422.18,508.02,369.76,440.36,483.02
89,OK,-7,1,883,883,351.51,425.28,507.44,370.93,439.36,487.35
90,OK,-11,0,890,890,350.28,425.39,508.16,372.38,439.58,491.29
91,OK,-3,-15,887,887,355.83,405.33,515.52,360.23,445.5,473.95
92,OK,8,-33,880,880,363.83,388.85,520.35,338.12,455.15,450.72
93,OK,21,-24,845,845,364.68,379.12,516.04,333.5,447.43,440.87
94,OK,21,-32,853,853,366.99,379.19,518.58,329.54,453.08,433.97
95,OK,20,-32,855,855,365.04,380.67,516.69,329.81,453.17,435.4
96,OK,11,-38,868,868,362.43,382.39,516.66,331.62,451.17,435.93
97,OK,6,-44,884,884,363.16,381.02,521.0,331.86,454.38,440.65
98,OK,-5,-53,913,913,363.07,385.33,525.8,333.81,458.59,446.44
99,OK,-14,-59,945,945,364.35,391.88,533.61,340.9,467.71,459.68
100,OK,-1,-42,927,927,369.84,401.15,536.04,351.92,472.73,466.68
101,OK,1,-18,917,917,370.18,411.46,535.76,366.84,466.0,491.2
102,OK,6,6,922,922,379.05,432.34,546.78,391.94,472.56,521.93
103,OK,16,6,931,931,391.82,432.8,563.06,401.03,484.91,525.37
104,OK,36,17,918,918,408.72,429.62,579.64,413.52,495.85,531.39
105,OK,44,21,920,920,416.82,432.66,588.14,416.27,506.72,538.4
106,OK,42,18,932,932,418.86,439.14,591.98,419.35,512.23,539.14
107,OK,49,28,926,926,422.99,445.1,595.44,428.99,515.64,546.48
108,OK,54,47,932,932,428.14,463.08,601.43,443.72,525.27,572.83
109,OK,38,54,964,964,424.45,486.26,602.33,457.28,528.27,601.27
110,OK,27,60,976,976,418.64,496.73,599.11,469.01,522.19,613.2
111,OK,30,74,957,957,416.62,501.89,594.22,479.13,512.44,614.92
112,OK,24,67,973,973,415.26,507.87,594.99,479.78,516.32,614.03
113,OK,15,66,980,980,409.76,509.68,590.53,479.79,511.61,618.44
114,OK,12,62,990,990,407.19,511.0,588.78,474.5,516.63,621.77
115,OK,22,44,1003,1003,413.69,518.26,590.42,455.58,544.12,605.0
116,OK,25,39,1014,1014,417.01,525.33,592.83,454.18,560.79,603.53
117,OK,11,49,1021,1021,406.86,532.0,586.05,466.2,546.9,619.6
118,OK,-15,52,1029,1029,387.71,533.01,571.48,475.82,519.08,628.76
119,OK,-33,59,1028,1028,373.77,531.34,560.46,485.7,495.61,639.0
120,OK,-40,62,1031,1031,370.11,530.9,558.05,487.83,486.18,644.96
121,OK,-40,62,1035,1035,373.1,535.25,561.87,492.57,486.64,644.59
122,OK,-39,63,1039,1039,377.32,532.91,568.1,496.05,487.3,651.3
123,OK,-34,61,1051,1051,386.61,532.26,580.46,499.61,499.17,656.77
124,OK,-28,66,1047,1047,394.04,530.29,588.09,504.19,500.11,661.29
125,OK,-2,81,1016,1016,407.59,530.72,596.17,507.52,511.64,659.49
126,OK,-9,62,1038,1038,409.19,520.9,602.02,498.42,516.3,652.53
127,OK,10,61,1001,1001,412.47,501.6,598.61,481.04,514.81,630.95
128,OK,6,49,1002,1002,409.93,491.2,596.16,470.95,511.95,618.99
129,OK,30,25,963,963,414.51,459.44,592.72,433.88,519.21,565.75
130,OK,35,-2,940,940,417.18,426.71,591.56,404.65,506.74,520.65
131,OK,74,-16,884,884,432.02,391.6,596.09,370.44,519.1,472.38
132,OK,79,-49,889,889,436.63,369.72,599.94,338.19,527.85,436.27
133,OK,89,-46,848,848,427.8,368.08,579.1,320.75,523.27,412.96
134,OK,94,-45,820,820,423.38,357.75,570.69,314.7,511.91,393.86
135,OK,92,-44,808,808,416.7,352.13,562.7,312.96,502.74,389.34
136,OK,93,-32,803,803,416.56,360.95,561.67,321.96,499.46,396.89
137,OK,81,-13,827,827,416.15,380.44,567.41,348.21,496.49,435.7
138,OK,80,0,832,832,417.45,394.19,569.9,362.58,499.33,454.6
139,OK,77,9,835,835,414.88,399.64,568.18,369.87,497.01,467.31
140,OK,85,20,819,819,415.96,402.66,566.54,374.73,496.83,471.12
141,OK,78,15,835,835,415.22,403.68,568.84,375.39,499.76,476.25
142,OK,71,8,847,847,413.26,401.49,569.28,373.56,498.73,475.61
143,OK,61,10,865,865,409.32,409.9,568.65,381.36,497.21,489.5
144,OK,54,17,871,871,406.67,421.5,566.37,389.36,492.96,500.26
145,OK,55,32,902,902,416.78,443.18,583.32,416.62,513.21,537.46
146,OK,61,50,900,900,419.44,459.67,585.54,432.31,519.51,554.72
147,OK,55,63,901,901,413.73,469.8,580.01,442.71,513.13,570.91
148,OK,62,65,896,896,420.23,469.42,586.0,444.44,518.6,570.82
149,OK,57,53,915,915,421.71,466.87,590.71,439.42,523.51,567.51
150,OK,59,46,914,914,424.14,460.02,593.55,436.5,523.76,559.34
151,OK,60,50,906,906,422.84,459.11,590.89,437.82,519.34,558.27
152,OK,60,55,911,911,423.77,462.91,592.96,442.54,522.1,568.61
153,OK,41,50,934,934,413.53,470.15,586.66,447.11,516.36,577.26
154,OK,0,44,959,959,385.52,478.88,562.13,447.28,485.98,584.0
155,OK,-24,37,986,986,372.08,484.81,553.63,452.17,475.95,592.85
156,OK,-50,35,1027,1027,359.82,503.7,548.23,466.03,473.03,611.94
157,OK,-77,44,1070,1070,352.52,521.75,551.38,498.72,465.12,649.0
158,OK,-70,98,1059,1059,355.64,561.12,552.77,541.39,464.11,702.79
159,OK,-78,114,1076,1076,353.82,585.52,554.62,571.75,467.38,726.14
160,OK,-82,116,1095,1095,357.2,594.08,561.41,579.4,471.82,740.26
161,OK,-85,103,1116,1116,362.46,592.56,570.58,576.08,480.05,739.29
162,OK,-92,86,1147,1147,369.57,588.56,583.57,572.54,487.15,739.3
163,OK,-55,106,1106,1106,390.09,591.97,596.24,574.65,503.31,736.11
164,OK,-26,120,1091,1091,414.14,595.13,618.03,589.06,523.59,739.33
165,OK,-68,106,1133,1133,393.64,598.61,605.49,595.98,498.04,746.92
166,OK,-101,95,1133,1133,361.11,587.3,572.83,580.03,464.53,738.67
167,OK,-123,89,1182,1182,357.85,603.27,578.78,594.53,468.74,762.25
