k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,62,130,598,598,303.11,357.02,453.02,392.21,344.71,484.14
2,OK,93,142,555,555,334.12,358.33,465.15,375.42,363.03,455.4
3,OK,103,146,545,545,332.31,363.41,468.82,384.12,364.27,466.0
4,OK,104,147,551,551,331.51,364.07,472.79,389.89,364.44,477.88
5,OK,101,148,561,561,327.51,378.25,473.84,392.44,367.57,482.66
6,OK,96,144,570,570,326.15,365.56,472.44,395.42,363.47,482.42
7,OK,101,151,564,564,328.59,382.71,472.15,393.7,369.9,486.23
8,OK,102,149,565,565,330.66,373.16,475.5,391.18,371.94,480.9
9,OK,112,150,558,558,341.74,375.95,483.53,383.32,381.61,475.69
10,OK,108,135,587,587,336.39,365.37,492.66,393.97,410.9,477.74
11,OK,93,102,620,620,322.78,352.38,489.92,373.72,403.87,431.57
12,OK,76,79,633,633,299.77,346.15,466.16,348.95,381.85,412.33
13,OK,64,64,639,639,292.17,344.7,458.62,342.76,375.34,402.74
14,OK,56,62,648,648,294.91,356.04,464.32,357.52,376.37,424.33
15,OK,55,67,656,656,300.15,364.22,471.5,363.05,387.16,447.15
16,OK,58,70,667,667,312.01,372.27,486.56,370.95,402.31,454.89
17,OK,64,74,675,675,321.72,374.81,497.72,374.13,415.42,463.77
18,OK,67,71,686,686,326.95,370.16,506.53,372.67,419.8,461.91
19,OK,76,74,681,681,333.27,372.83,507.67,374.71,428.15,459.81
20,OK,83,78,672,672,332.18,374.75,502.89,372.29,425.68,453.79
21,OK,79,75,677,677,327.33,371.76,503.38,372.26,420.6,456.02
22,OK,77,74,679,679,325.2,371.45,500.66,370.8,417.56,456.08
23,OK,70,67,691,691,323.21,368.68,504.59,372.81,419.06,454.46
24,OK,70,68,691,691,325.09,361.93,502.91,369.54,416.65,462.95
25,OK,70,67,694,694,327.7,362.66,506.94,372.75,422.41,462.92
26,OK,61,67,713,713,320.14,378.73,508.75,389.5,422.84,485.47
27,OK,63,91,711,711,326.08,408.44,508.16,423.7,423.05,525.8
