k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,-67,197,754,754,214.86,520.75,407.11,493.68,309.84,641.7
2,OK,-78,207,756,756,207.7,533.25,400.02,502.72,297.75,653.86
3,OK,-74,214,761,761,210.82,538.45,404.5,508.94,305.78,664.75
4,OK,-70,219,763,763,213.89,543.71,408.57,516.47,310.88,670.01
5,OK,-61,221,762,762,223.82,545.36,418.62,521.75,320.53,671.64
6,OK,-53,221,756,756,226.68,549.45,419.0,519.27,327.82,665.08
7,OK,-46,223,761,761,233.72,547.94,428.25,523.89,337.23,671.12
8,OK,-41,228,755,755,234.83,550.54,427.29,523.4,341.25,673.89
9,OK,-45,230,756,756,232.34,557.1,424.41,525.39,338.77,675.37
10,OK,-42,231,755,755,234.43,556.25,426.7,526.39,340.82,675.76
11,OK,-38,230,751,751,235.35,554.41,426.45,523.92,343.44,672.59
12,OK,-28,211,746,746,244.32,535.34,433.83,504.4,351.76,649.36
13,OK,-16,197,736,736,251.95,513.73,439.91,488.26,360.02,630.81
14,OK,5,174,715,715,266.04,480.76,449.86,468.21,367.5,589.29
15,OK,20,157,699,699,273.53,454.47,453.25,445.14,376.41,563.97
16,OK,34,119,690,690,288.08,407.22,465.37,419.35,383.09,514.79
17,OK,53,120,667,667,300.32,394.75,470.85,416.61,388.16,502.31
18,OK,90,133,632,632,321.71,393.27,483.21,414.13,410.62,495.83
19,OK,112,145,612,612,336.85,396.0,492.38,421.25,423.3,494.93
20,OK,119,137,624,624,349.31,390.54,507.06,421.09,434.48,492.85
21,OK,124,144,635,635,355.7,401.43,516.61,431.01,446.22,507.01
22,OK,142,170,632,632,378.88,424.91,537.89,459.42,458.66,530.62
23,OK,159,189,638,638,401.5,434.83,559.2,480.74,476.81,559.69
24,OK,176,187,628,628,415.49,426.48,569.83,474.81,488.92,551.49
25,OK,186,181,619,619,419.83,420.42,572.27,467.31,495.0,536.2
26,OK,172,172,627,627,410.13,413.82,564.08,463.03,482.95,531.78
27,OK,154,166,632,632,395.87,411.23,552.51,455.38,466.97,532.32
28,OK,129,161,644,644,373.53,418.86,535.49,454.42,448.58,530.43
29,OK,128,175,635,635,368.95,426.27,528.82,460.79,442.9,541.43
30,OK,127,177,638,638,367.56,429.35,528.06,464.21,445.5,547.04
31,OK,119,181,643,643,361.96,431.05,523.3,468.37,438.05,555.52
32,OK,117,188,643,643,358.96,434.95,520.46,472.0,436.96,565.29
33,OK,99,186,663,663,349.68,442.56,516.64,478.38,428.31,574.69
34,OK,64,197,706,706,332.07,471.33,512.36,495.31,413.76,618.57
35,OK,30,207,725,725,307.66,490.85,493.01,513.84,385.15,636.75
36,OK,-11,218,780,780,289.79,520.18,488.62,548.05,370.54,682.81
37,OK,-55,225,826,826,265.05,549.13,476.66,571.3,347.08,715.82
38,OK,-62,234,833,833,262.49,561.19,475.31,587.94,339.38,726.4
39,OK,-61,247,863,863,273.56,582.38,494.58,606.45,356.85,762.94
